@relation 'data-weka.filters.unsupervised.attribute.Remove-V-R14,44,46,73,75,126,129,140,145,156,185,210,219,234,240,248,254,265,284,319,332,341-344,373,424,438,450,464,468,585,606,614,626,638,653-654,668,682,686,716,770,794-795,800,828,858,901'

@attribute attr13 numeric
@attribute attr43 numeric
@attribute attr45 numeric
@attribute attr72 numeric
@attribute attr74 numeric
@attribute attr125 numeric
@attribute attr128 numeric
@attribute attr139 numeric
@attribute attr144 numeric
@attribute attr155 numeric
@attribute attr184 numeric
@attribute attr209 numeric
@attribute attr218 numeric
@attribute attr233 numeric
@attribute attr239 numeric
@attribute attr247 numeric
@attribute attr253 numeric
@attribute attr264 numeric
@attribute attr283 numeric
@attribute attr318 numeric
@attribute attr331 numeric
@attribute attr340 numeric
@attribute attr341 numeric
@attribute attr342 numeric
@attribute attr343 numeric
@attribute attr372 numeric
@attribute attr423 numeric
@attribute attr437 numeric
@attribute attr449 numeric
@attribute attr463 numeric
@attribute attr467 numeric
@attribute attr584 numeric
@attribute attr605 numeric
@attribute attr613 numeric
@attribute attr625 numeric
@attribute attr637 numeric
@attribute attr652 numeric
@attribute attr653 numeric
@attribute attr667 numeric
@attribute attr681 numeric
@attribute attr685 numeric
@attribute attr715 numeric
@attribute attr769 numeric
@attribute attr793 numeric
@attribute attr794 numeric
@attribute attr799 numeric
@attribute attr827 numeric
@attribute attr857 numeric
@attribute theClass {positive,negative}

@data
-1,-1,-3222314,-4538171,-5064259,-16775899,-16777167,-11444875,-15986123,-16777169,-16775103,-9024768,-16775078,-16775623,-8365568,-16776618,-9140305,-16776659,-8285273,-10985108,-7498605,-6048568,-8286306,-11379347,-12828083,-15327699,-15459532,-12432042,-8300288,-14928307,-11971489,-12953729,-16641192,-16767394,-16184028,-16507546,-9932405,-14471851,-16639132,-10589055,-15327177,-14998469,-12103588,-5657418,-6907743,-11117468,-10328212,-7235941,negative
-11051947,-10263170,-11251349,-11639133,-11704155,-15314268,-13932090,-16759640,-16756312,-9067023,-13731389,-2895941,-2891277,-16757064,-9605546,-3485743,-9270122,-16753226,-10325635,-12822122,-11791565,-11314846,-16777216,-16777213,-16776179,-16777216,-16758368,-9992024,-9540516,-14392469,-4066817,-1966081,-3212801,-2691853,-15640687,-5256492,-16760123,-16758860,-12096098,-16760361,-16760970,-15974542,-13546368,-13680821,-13220526,-12368042,-12108233,-10002092,negative
-10987681,-10125917,-7763295,-16765283,-16766322,-16699922,-16768277,-16702998,-16636720,-16704290,-16776785,-7296870,-9649665,-16770373,-4863034,-131073,-327681,-16776787,-786433,-2690569,-15852232,-16777105,-16772224,-16774276,-16777131,-16777043,-16769097,-4526849,-6051665,-16777096,-5250561,-1,-16777047,-7749660,-16770691,-16777056,-16769572,-16768291,-16636433,-16768801,-16769160,-16770190,-16754237,-11316371,-7302998,-6176283,-5206405,-5338005,negative
-6906983,-1,-12697024,-657676,-10196118,-4140327,-3616301,-16580352,-16777216,-4008998,-4075046,-6904873,-8158324,-9472648,-16768369,-8617587,-6520796,-2959655,-3961344,-16777216,-4071449,-6720508,-3300864,-3301888,-1855488,-870912,-1,-14081783,-16758350,-16382187,-2640854,-2119936,-12500408,-4220672,-3354409,-9672331,-7966853,-8033923,-10526615,-11321787,-4934215,-3487025,-4747103,-6842729,-1314072,-4617068,-9613488,-8824223,negative
-263185,-7103568,-6844261,-16768383,-16768134,-16171089,-16500049,-13078604,-9927500,-16172111,-16764235,-7505296,-16761938,-2301730,-4017241,-16697170,-6832167,-11111508,-3942967,-3552312,-9163981,-4274244,-4668746,-985358,-8554371,-8750471,-8737844,-16777216,-15988736,-16777216,-9737610,-3093284,-16434269,-3486003,-16768618,-16762717,-2301989,-2827562,-16762205,-3024675,-16768613,-16769122,-16046205,-16769133,-16768111,-16774516,-11701340,-4538182,negative
-1,-7038536,-5591610,-16777080,-16777078,-16773204,-16772187,-16772955,-16707415,-16706139,-16777053,-720897,-16777069,-16777067,-393217,-2622721,-5385737,-11234330,-131077,-2561551,-15455076,-1114124,-524296,-3,-1,-16577944,-16777080,-3086866,-262145,-16771946,-3349525,-7091727,-131073,-1,-16773484,-1,-16774235,-16774253,-5721933,-16774252,-16775530,-16773745,-16773993,-16575587,-16575351,-16641902,-16777078,-15452245,negative
-6972258,-13811128,-12430236,-16777158,-16777157,-16777134,-16776884,-16711088,-16711349,-16776876,-16776360,-15529470,-16776878,-16776878,-14935026,-16710568,-14209170,-16776624,-15132574,-16777129,-15721876,-6116689,-6379091,-4536385,-15065768,-5458506,-524309,-6313296,-14211560,-6248017,-6444370,-16777126,-16776614,-16777153,-16711343,-16776621,-16776616,-16777129,-16776875,-16776624,-16776882,-16776623,-16776623,-16777134,-16777134,-16777134,-16513959,-11970212,negative
-14148316,-16580605,-16777216,-16314853,-14868690,-13198113,-13260571,-13656609,-10707505,-16745771,-15297034,-16707931,-16749594,-15823617,-16769858,-16743183,-16748050,-16748077,-8531201,-6423041,-14660749,-1703937,-2294785,-2230787,-1114113,-6901286,-14645293,-16747043,-4335116,-655361,-13916161,-7547649,-16751428,-7085569,-14653006,-16680238,-14438657,-15492353,-16751658,-16744212,-14915680,-14718554,-13397549,-15973795,-16174252,-15780520,-16773608,-15591404,negative
-15199473,-16055033,-15527913,-12634289,-11709857,-16767876,-16766841,-10125412,-14141065,-16772986,-16768358,-14474461,-16766276,-16770169,-14606303,-16705363,-6700814,-16044413,-2033921,-7698798,-14456662,-1,-3617576,-7697008,-5656146,-7107432,-11698771,-5985849,-12751978,-11513240,-12236438,-6373414,-16767838,-16770696,-14535305,-16768345,-16769428,-16771459,-16766046,-6241292,-15260843,-14999223,-15922402,-14408652,-14935008,-15661554,-14869475,-14935525,negative
-15659504,-15001574,-15461869,-13685715,-15001060,-15725545,-15921904,-15855341,-15658984,-15658973,-13488055,-15066596,-13873002,-14931890,-15066594,-16367979,-16762470,-15787478,-16766814,-16701781,-6006139,-13668142,-10905352,-8734721,-14521140,-4134145,-7977357,-393217,-6380117,-2035472,-1,-16768636,-12826199,-16765022,-15129539,-16769627,-15913834,-15192717,-16766561,-15979362,-15656927,-15459546,-15592132,-15788249,-15327180,-14670805,-12433588,-13684684,negative
